code,product_name,categories,packaging,ingredients_analysis_tags,ecoscore_score,ecoscore_grade,food_type,is_biodegradable,final_ecoscore,biodegradability_score,biodegradability_label,clean_category,product_name_lower,clean_category_fixed
8904004400922.0,Haldiram's mixture,,,"['en:palm-oil-content-unknown', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']",,unknown,other,no,,40.0,Moderately Biodegradable,non_food,haldiram's mixture,non_food
8906064918508.0,Zahidi Dates,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Dates",,"['en:palm-oil-free', 'en:vegan', 'en:vegetarian']",,,other,no,,40.0,Moderately Biodegradable,non_food,zahidi dates,non_food
8906020580763.0,Whole wheat paratga,,,[],,,other,no,,30.0,Non Biodegradable,grain,whole wheat paratga,grain
8908014814069.0,garlic bread,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Salty snacks, Appetizers, Breads, Garlic breads",,"['en:palm-oil', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']",,unknown,other,no,,40.0,Moderately Biodegradable,non_food,garlic bread,non_food
8908014814120.0,Hotdog bun,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads",,"['en:palm-oil', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']",,unknown,other,no,,40.0,Moderately Biodegradable,non_food,hotdog bun,non_food
8939112794182.0,Roastum Roasted Multigrain & Flakes Lime N Mint,snacks,,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,roastum roasted multigrain & flakes lime n mint,non_food
8906149900213.0,Candy,,,[],,unknown,other,no,,30.0,Non Biodegradable,confectionery,candy,confectionery
8906149990108.0,Orange slices,,,"['en:palm-oil-free', 'en:vegan', 'en:vegetarian']",,unknown,other,no,,40.0,Moderately Biodegradable,non_food,orange slices,non_food
8906037151437.0,Bail juice,,,[],,unknown,beverage,no,,30.0,Non Biodegradable,beverage,bail juice,beverage
8904043551579.0,multgrain bread,Breads,,"['en:palm-oil', 'en:vegan-status-unknown', 'en:vegetarian']",,,other,no,,40.0,Moderately Biodegradable,non_food,multgrain bread,non_food
8901042971483.0,Vemicelli,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Pastas, Bread coverings, Cooking helpers, Dry pastas, Food decorations, Pastry helpers, Sprinkles",,"['en:palm-oil-free', 'en:vegan', 'en:vegetarian']",,unknown,other,no,,40.0,Moderately Biodegradable,non_food,vemicelli,non_food
8904026633957.0,Naturolax-A,"Non food products, Open Products Facts, Isabgol",,"['en:palm-oil-content-unknown', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']",,unknown,other,no,,40.0,Moderately Biodegradable,non_food,naturolax-a,non_food
8901662037828.0,CHICKEN BIRYANI MIX,,,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,chicken biryani mix,non_food
8902901224252.0,yellow raisins,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods, Dried products, Dried plant-based foods, Dried fruits, Raisins",,"['en:palm-oil-free', 'en:vegan', 'en:vegetarian']",62.0,b,other,no,62.0,46.2,Moderately Biodegradable,non_food,yellow raisins,non_food
8904112704295.0,Peanut ball,,,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,peanut ball,non_food
8908012692171.0,Skin Fuel,,,"['en:palm-oil-content-unknown', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']",,unknown,other,no,,40.0,Moderately Biodegradable,non_food,skin fuel,non_food
8908000233249.0,Iyer's papad long chips,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Flatbreads,Special breads,Papadum",,['en:vegetarian'],,,snack,no,,35.0,Non Biodegradable,snack,iyer's papad long chips,snack
8901042968711.0,Hing - compounded asafoetida powder,Asafoetida,,"['en:palm-oil-free', 'en:vegan', 'en:vegetarian']",,unknown,other,no,,40.0,Moderately Biodegradable,spices,hing - compounded asafoetida powder,other
8901262176477.0,Mawa Malai Kulfi,"Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams, Ice cream bars",,"['en:palm-oil-content-unknown', 'en:non-vegan', 'en:vegetarian-status-unknown']",67.0,b,other,no,67.0,46.7,Moderately Biodegradable,non_food,mawa malai kulfi,non_food
8904132952607.0,Campa cola 2ltr pet,"Beverages, Carbonated drinks, Sodas, Colas, Sweetened beverages",,"['en:palm-oil-free', 'en:maybe-vegan', 'en:vegetarian']",,not-applicable,beverage,no,,40.0,Moderately Biodegradable,beverage,campa cola 2ltr pet,beverage
8901063342491.0,Atta sandwich,,,[],,unknown,other,no,,30.0,Non Biodegradable,grain,atta sandwich,grain
8904013460023.0,Thurbo DARJEELING TEA WHOLE LEAF,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Hot beverages,Plant-based beverages,Teas",,['en:vegetarian'],,,beverage,no,,35.0,Non Biodegradable,beverage,thurbo darjeeling tea whole leaf,beverage
8901063325777.0,Britannia Rusk,,,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,britannia rusk,non_food
8902080304028.0,7up lemon 250ml,en:lemon-soft-drinks,,[],,not-applicable,other,no,,30.0,Non Biodegradable,non_food,7up lemon 250ml,non_food
8904246910012.0,Amla pickle,"Plant-based foods and beverages, Plant-based foods, Pickles, Indian Gooseberry, Amla pickle",,"['en:palm-oil-free', 'en:vegan-status-unknown', 'en:vegetarian']",,unknown,other,no,,40.0,Moderately Biodegradable,non_food,amla pickle,non_food
8992933231113.0,Pop Ice - Milk Shake chocolate,"Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams, Ice cream tubs, Chocolate ice cream tubs",,[],67.0,b,dairy,no,67.0,36.7,Non Biodegradable,beverage,pop ice - milk shake chocolate,dairy
8906090574198.0,Namkeen Bikaneri Bhujia,,,[],,unknown,snack,no,,30.0,Non Biodegradable,snack,namkeen bikaneri bhujia,snack
8906021560085.0,masala boondi,,,"['en:palm-oil-content-unknown', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']",,unknown,other,no,,40.0,Moderately Biodegradable,spices,masala boondi,spices
8901058890716.0,Nestle Optifast,en:dietary-supplements,,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,nestle optifast,non_food
8904112704394.0,Durga puffed rice rool,,,[],,unknown,other,no,,30.0,Non Biodegradable,grain,durga puffed rice rool,grain
8906005500397.0,Bikaji aloo bhujia 1kg,,,[],,,other,no,,30.0,Non Biodegradable,non_food,bikaji aloo bhujia 1kg,non_food
8904063216397.0,Navratan haldiram 1kg,Snacks,,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,navratan haldiram 1kg,non_food
8901030945786.0,Boost Sandwich,"Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams, Ice cream sandwiches",,"['en:palm-oil', 'en:non-vegan', 'en:vegetarian-status-unknown']",57.0,c,other,no,57.0,45.7,Moderately Biodegradable,non_food,boost sandwich,non_food
8901063093522.0,Good Day - Cashew Cookies,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Cooking helpers, Pastry helpers, Variety packs, Baking Mixes, Biscuits or cookies variety packs, Dessert mixes, Biscuit mixes, Biscuits/Cookies (Shelf Stable)",,"['en:palm-oil', 'en:non-vegan', 'en:vegetarian']",,,snack,no,,40.0,Moderately Biodegradable,snack,good day - cashew cookies,confectionery
8906024040058.0,Ginger Chat,"Plant-based foods and beverages, Plant-based foods, Snacks, Condiments, Sweet snacks, Confectioneries, Spices, Ginger, Crystallized ginger",,"['en:palm-oil-free', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']",,,other,no,,40.0,Moderately Biodegradable,non_food,ginger chat,non_food
8901262300612.0,Tender Coconut,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams",,"['en:palm-oil-content-unknown', 'en:non-vegan', 'en:vegetarian']",67.0,b,other,no,67.0,46.7,Moderately Biodegradable,non_food,tender coconut,non_food
8906036670441.0,goodlife slim,"Dairies, Milks, Skimmed milks",,"['en:palm-oil-free', 'en:non-vegan', 'en:vegetarian']",41.0,d,other,no,41.0,44.1,Moderately Biodegradable,non_food,goodlife slim,non_food
8906008811131.0,suji semolina rawa 500g,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Cereal semolinas, Wheat semolinas, Semolina",,"['en:palm-oil-free', 'en:vegan', 'en:vegetarian']",,,other,no,,40.0,Moderately Biodegradable,non_food,suji semolina rawa 500g,non_food
8906008811117.0,maida refined wheat flour,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Flours,Cereal flours,Wheat flours,Maida",,"['en:palm-oil-free', 'en:vegan', 'en:vegetarian']",,,other,no,,40.0,Moderately Biodegradable,grain,maida refined wheat flour,grain
8908019150469.0,lahsun chura,Snacks,,['en:vegetarian'],,unknown,other,no,,35.0,Non Biodegradable,non_food,lahsun chura,non_food
8904063214331.0,Haldiram aloo bhujia 220g,"Snacks,potato",,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,haldiram aloo bhujia 220g,non_food
8901414010499.0,Bikano tasty 220g,,,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,bikano tasty 220g,non_food
